group,year,week,value
45to64,2021,8,10672
45to64,2021,9,11246
45to64,2021,10,11933
45to64,2021,11,12640
45to64,2021,12,13368
45to64,2021,13,14222
45to64,2021,14,15037
45to64,2021,15,15863
45to64,2021,16,16648
45to64,2021,17,17287
45to64,2021,18,17872
45to64,2021,19,18349
45to64,2021,20,18572
45to64,2021,21,18886
45to64,2021,22,19237
45to64,2021,23,19412
45to64,2021,24,19535
45to64,2021,25,19812
45to64,2021,26,20250
45to64,2021,27,20460
45to64,2021,28,20761
45to64,2021,29,21227
45to64,2021,30,21606
45to64,2021,31,22181
45to64,2021,32,22755
45to64,2021,33,23313
45to64,2021,34,23703
45to64,2021,35,24303
45to64,2021,36,24994
45to64,2021,37,25329
45to64,2021,38,25820
45to64,2021,39,26259
45to64,2021,40,26803
45to64,2021,41,27499
45to64,2021,42,28087
45to64,2021,43,28753
45to64,2021,44,29491
45to64,2021,45,30451
45to64,2021,46,31483
45to64,2021,47,32684
45to64,2021,48,34115
45to64,2021,49,35576
45to64,2021,50,36888
45to64,2021,51,38293
45to64,2021,52,39670
45to64,2022,0,0
45to64,2022,1,1065
45to64,2022,2,2065
45to64,2022,3,2888
45to64,2022,4,3694
45to64,2022,5,4530
45to64,2022,6,5055
45to64,2022,7,5551
45to64,2022,8,5792
45to64,2022,9,6158
45to64,2022,10,6347
45to64,2022,11,6659
45to64,2022,12,6917
45to64,2022,13,7233
45to64,2022,14,7602
45to64,2022,15,7909
45to64,2022,16,7979
45to64,2022,17,8173
45to64,2022,18,8464
45to64,2022,19,8612
45to64,2022,20,8764
45to64,2022,21,8811
45to64,2022,22,8886
45to64,2022,23,8971
45to64,2022,24,9172
45to64,2022,25,9374
45to64,2022,26,9781
45to64,2022,27,10178
45to64,2022,28,10806
45to64,2022,29,11574
45to64,2022,30,12004
45to64,2022,31,12372
45to64,2022,32,12799
45to64,2022,33,13027
45to64,2022,34,13192
45to64,2022,35,13298
45to64,2022,36,13257
45to64,2022,37,13150
45to64,2022,38,13453
45to64,2022,39,13610
45to64,2022,40,13771
45to64,2022,41,13813
45to64,2022,42,13947
45to64,2022,43,14096
45to64,2022,44,14113
45to64,2022,45,14377
45to64,2022,46,14646
45to64,2022,47,15088
45to64,2022,48,15517
45to64,2022,49,16503
45to64,2022,50,17574
45to64,2022,51,19057
45to64,2022,52,20709
45to64,2023,0,0
45to64,2023,1,1119
45to64,2023,2,1759
